timestamp,fft_hr,fft_hr_smoothed,breathing_rate
2025-01-12 09:59,66,65.62305,
2025-01-12 09:59,66,65.532326,
2025-01-12 09:59,66,65.43403,
2025-01-12 10:00,66,65.32829,
2025-01-12 10:00,60,65.215355,
2025-01-12 10:00,66,65.12072,12.500001
2025-01-12 10:00,66,64.99752,
2025-01-12 10:00,66,64.86837,
2025-01-12 10:00,72,64.72723,
2025-01-12 10:00,72,64.56893,
2025-01-12 10:01,72,64.42803,
2025-01-12 10:01,60,64.28289,
2025-01-12 10:01,60,64.17304,
2025-01-12 10:01,60,64.08048,
2025-01-12 10:01,54.000004,63.92012,
2025-01-12 10:01,72,63.759323,
2025-01-12 10:02,66,63.598667,
2025-01-12 10:02,60,63.438725,
2025-01-12 10:02,66,63.285862,
2025-01-12 10:02,,63.134815,12.000001
2025-01-12 10:02,60,62.986088,
2025-01-12 10:02,66,62.820652,
2025-01-12 10:02,60,62.67397,
2025-01-12 10:02,54.000004,62.537968,
2025-01-12 10:03,72,62.405636,
2025-01-12 10:03,54.000004,62.327927,
2025-01-12 10:03,66,62.235867,
2025-01-12 10:03,60,62.107452,
2025-01-12 10:03,60,62.006615,
2025-01-12 10:03,60,61.89175,
2025-01-12 10:03,60,61.804424,
2025-01-12 10:04,60,61.73086,
2025-01-12 10:04,60,61.680584,
2025-01-12 10:04,,61.61369,13.500001
2025-01-12 10:04,60,61.552326,
2025-01-12 10:04,66,61.51578,
2025-01-12 10:04,60,61.46242,
2025-01-12 10:04,60,61.439495,
2025-01-12 10:05,60,61.399437,
2025-01-12 10:05,60,61.34466,
2025-01-12 10:05,60,61.296772,
2025-01-12 10:05,60,61.255085,
2025-01-12 10:05,60,61.283195,
2025-01-12 10:05,66,61.31452,
2025-01-12 10:05,60,61.3745,
2025-01-12 10:06,60,61.460808,
2025-01-12 10:06,60,61.493458,
2025-01-12 10:06,60,61.533215,13.000001
2025-01-12 10:06,66,61.574112,
2025-01-12 10:06,60,61.596497,
2025-01-12 10:06,60,61.628643,
2025-01-12 10:06,60,61.67571,
2025-01-12 10:07,60,61.70313,
2025-01-12 10:07,60,61.777462,
